*******************************************************************************
 Revised: April 12, 2021             Mercury                            199 / 1

 PHYSICAL DATA (updated 2021-Apr-12):
  Vol. Mean Radius (km) =  2440+-1        Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.86855     Equatorial radius, Re = 2440 km
  GM 1-sigma (km^3/s^2) =                 Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Fri Jan 28 07:53:05 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Jan-28 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jan-28 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459242.500000000, A.D. 2021-Jan-28 00:00:00.0000,  1.541242342978733E+07,  4.335041176339311E+07,  2.128634902582854E+06, -4.808447085637202E+06,  1.570444839951650E+06,  5.694138177563398E+05,
2459243.500000000, A.D. 2021-Jan-29 00:00:00.0000,  1.053390854272610E+07,  4.469821751222710E+07,  2.686282866840513E+06, -4.940400296844414E+06,  1.122607667432357E+06,  5.449224210462843E+05,
2459244.500000000, A.D. 2021-Jan-30 00:00:00.0000,  5.548338365012147E+06,  4.559173875879098E+07,  3.216628672682773E+06, -5.022255199150803E+06,  6.631171863482342E+05,  5.148831938119615E+05,
2459245.500000000, A.D. 2021-Jan-31 00:00:00.0000,  5.064741811031968E+05,  4.602308622419241E+07,  3.714371256589064E+06, -5.052931481050031E+06,  1.995289974332202E+05,  4.798144533840704E+05,
2459246.500000000, A.D. 2021-Feb-01 00:00:00.0000, -4.540579729898974E+06,  4.599194688596018E+07,  4.174797195023429E+06, -5.032820133574164E+06, -2.606215289572056E+05,  4.403678278705330E+05,
2459247.500000000, A.D. 2021-Feb-02 00:00:00.0000, -9.542819294876657E+06,  4.550538318811391E+07,  4.593896682759639E+06, -4.963709603004268E+06, -7.101750689722168E+05,  3.972924061412239E+05,
2459248.500000000, A.D. 2021-Feb-03 00:00:00.0000, -1.445266007257364E+07,  4.457729808959194E+07,  4.968440850825150E+06, -4.848615507020217E+06, -1.142655438601833E+06,  3.513940230468517E+05,
2459249.500000000, A.D. 2021-Feb-04 00:00:00.0000, -1.922604851429632E+07,  4.322762903840093E+07,  5.296017838118328E+06, -4.691539596346648E+06, -1.552501233237944E+06,  3.034942200631822E+05,
2459250.500000000, A.D. 2021-Feb-05 00:00:00.0000, -2.382331006864977E+07,  4.148135426127398E+07,  5.575029386643590E+06, -4.497190011066292E+06, -1.935208459203162E+06,  2.543929288591407E+05,
2459251.500000000, A.D. 2021-Feb-06 00:00:00.0000, -2.820971171364336E+07,  3.936740147996037E+07,  5.804653267600605E+06, -4.270694932210272E+06, -2.287384053013761E+06,  2.048378309198842E+05,
